lat,lon,sst
-20.0,180.0,28.15
-19.5,180.0,28.15
-19.0,180.0,28.3
-18.5,180.0,28.3
-18.0,180.0,28.3
-17.5,180.0,28.15
-17.0,180.0,28.3
-16.5,180.0,28.44
-16.0,180.0,28.15
-15.5,180.0,28.44
-15.0,180.0,28.44
-14.5,180.0,28.3
-14.0,180.0,28.3
-13.5,180.0,28.59
-13.0,180.0,28.15
-12.5,180.0,28.44
-12.0,180.0,28.44
-11.5,180.0,28.44
-11.0,180.0,28.74
-10.5,180.0,28.74
-10.0,180.0,28.44
-9.5,180.0,28.59
-9.0,180.0,28.74
-8.5,180.0,29.17
-8.0,180.0,28.74
-7.5,180.0,29.32
-7.0,180.0,29.17
-6.5,180.0,28.74
-6.0,180.0,29.17
-5.5,180.0,28.88
-5.0,180.0,28.74
-4.5,180.0,28.59
-4.0,180.0,28.59
-3.5,180.0,28.59
-3.0,180.0,28.59
-2.5,180.0,28.59
-2.0,180.0,28.74
-1.5,180.0,28.74
-1.0,180.0,28.88
-0.5,180.0,29.03
0.0,180.0,29.03
0.5,180.0,29.32
1.0,180.0,29.32
1.5,180.0,29.46
2.0,180.0,29.61
2.5,180.0,29.76
3.0,180.0,29.9
3.5,180.0,29.76
4.0,180.0,29.9
5.0,180.0,29.9
5.5,180.0,29.9
6.0,180.0,29.9
6.5,180.0,29.9
7.0,180.0,29.76
7.5,180.0,29.76
8.0,180.0,29.61
9.0,180.0,29.32
9.5,180.0,29.32
10.0,180.0,29.03
10.5,180.0,29.03
11.0,180.0,28.88
11.5,180.0,28.74
12.0,180.0,28.59
12.5,180.0,28.3
13.0,180.0,28.15
13.5,180.0,28.01
14.0,180.0,28.15
14.5,180.0,27.43
15.0,180.0,27.86
15.5,180.0,26.84
16.0,180.0,26.84
16.5,180.0,26.41
17.0,180.0,25.53
17.5,180.0,25.82
18.0,180.0,25.53
18.5,180.0,25.39
19.0,180.0,24.22
19.5,180.0,23.78
20.0,180.0,23.64
-20.0,180.5,28.15
-19.5,180.5,28.3
-19.0,180.5,28.15
-18.5,180.5,28.15
-18.0,180.5,28.3
-17.5,180.5,28.3
-17.0,180.5,28.15
-16.5,180.5,28.3
-16.0,180.5,28.15
-15.5,180.5,28.3
-15.0,180.5,28.15
-14.5,180.5,28.3
-14.0,180.5,28.3
-13.5,180.5,28.3
-13.0,180.5,28.59
-12.5,180.5,28.3
-12.0,180.5,28.59
-11.5,180.5,28.59
-11.0,180.5,28.3
-10.0,180.5,28.74
-9.5,180.5,28.74
-8.5,180.5,28.74
-8.0,180.5,28.74
-7.0,180.5,29.03
-6.5,180.5,29.17
-6.0,180.5,29.17
-5.5,180.5,29.03
-5.0,180.5,28.88
-4.5,180.5,28.59
-4.0,180.5,28.44
-3.5,180.5,28.59
-3.0,180.5,28.59
-2.5,180.5,28.59
-2.0,180.5,28.74
-0.5,180.5,28.88
0.0,180.5,29.17
1.0,180.5,29.32
1.5,180.5,29.46
3.0,180.5,29.46
3.5,180.5,29.61
4.0,180.5,29.9
5.5,180.5,29.76
6.0,180.5,29.9
6.5,180.5,29.76
7.0,180.5,29.76
7.5,180.5,29.61
8.0,180.5,29.61
8.5,180.5,29.46
9.0,180.5,29.32
9.5,180.5,29.32
10.0,180.5,29.17
10.5,180.5,29.03
11.0,180.5,28.88
11.5,180.5,28.74
12.0,180.5,28.59
12.5,180.5,28.44
13.0,180.5,28.3
13.5,180.5,28.01
14.0,180.5,28.01
14.5,180.5,27.57
15.0,180.5,27.13
15.5,180.5,26.84
16.0,180.5,26.84
16.5,180.5,25.97
17.0,180.5,25.68
17.5,180.5,25.82
18.0,180.5,25.24
18.5,180.5,25.09
19.0,180.5,24.07
19.5,180.5,24.22
20.0,180.5,23.78
-20.0,181.0,28.15
-19.5,181.0,28.3
-19.0,181.0,28.3
-18.5,181.0,28.15
-18.0,181.0,28.3
-17.5,181.0,28.15
-17.0,181.0,28.15
-16.5,181.0,28.3
-16.0,181.0,28.3
-15.5,181.0,28.01
-15.0,181.0,28.3
-14.5,181.0,28.44
-14.0,181.0,28.59
-13.5,181.0,28.59
-13.0,181.0,28.59
-12.5,181.0,28.74
-12.0,181.0,28.44
-11.5,181.0,28.74
-11.0,181.0,28.59
-10.5,181.0,28.74
-10.0,181.0,28.74
-9.5,181.0,29.03
-8.5,181.0,28.74
-8.0,181.0,28.74
-7.5,181.0,29.32
-7.0,181.0,29.32
-6.5,181.0,29.17
-6.0,181.0,29.17
-5.5,181.0,28.88
-5.0,181.0,28.88
-4.5,181.0,28.59
-4.0,181.0,28.59
-3.5,181.0,28.59
-3.0,181.0,28.59
-2.5,181.0,28.59
-2.0,181.0,28.59
-1.5,181.0,28.74
-1.0,181.0,28.74
-0.5,181.0,28.88
0.0,181.0,28.88
0.5,181.0,29.32
1.0,181.0,29.32
1.5,181.0,29.46
2.0,181.0,29.61
3.0,181.0,29.46
3.5,181.0,29.61
4.0,181.0,29.9
5.0,181.0,29.76
5.5,181.0,29.76
6.5,181.0,29.76
7.0,181.0,29.76
7.5,181.0,29.61
8.0,181.0,29.61
8.5,181.0,29.46
9.0,181.0,29.32
9.5,181.0,29.32
10.0,181.0,29.17
10.5,181.0,29.03
11.0,181.0,28.88
11.5,181.0,28.74
12.0,181.0,28.59
12.5,181.0,28.44
13.0,181.0,28.3
13.5,181.0,28.44
14.0,181.0,28.15
14.5,181.0,27.57
15.0,181.0,27.28
15.5,181.0,27.43
16.0,181.0,27.13
16.5,181.0,26.11
17.0,181.0,25.97
17.5,181.0,25.24
18.0,181.0,24.8
18.5,181.0,24.8
19.0,181.0,24.8
20.0,181.0,23.35
-20.0,181.5,28.15
-19.5,181.5,28.15
-19.0,181.5,28.15
-18.5,181.5,28.15
-18.0,181.5,28.3
-17.5,181.5,28.15
-17.0,181.5,28.3
-16.5,181.5,28.3
-16.0,181.5,28.44
-15.5,181.5,28.3
-15.0,181.5,28.44
-14.5,181.5,28.3
-14.0,181.5,28.44
-13.5,181.5,28.15
-13.0,181.5,28.59
-12.5,181.5,28.74
-12.0,181.5,28.59
-11.0,181.5,28.44
-10.5,181.5,28.74
-10.0,181.5,28.44
-9.5,181.5,28.88
-9.0,181.5,28.74
-8.5,181.5,29.17
-8.0,181.5,29.17
-7.5,181.5,28.74
-6.5,181.5,28.74
-6.0,181.5,29.03
-5.5,181.5,29.03
-5.0,181.5,28.88
-4.5,181.5,28.74
-4.0,181.5,28.59
-3.5,181.5,28.44
-3.0,181.5,28.59
-2.5,181.5,28.59
-2.0,181.5,28.59
-1.5,181.5,28.74
-1.0,181.5,28.74
-0.5,181.5,28.88
0.0,181.5,28.88
0.5,181.5,29.32
